RECTYPE,CNTBTCH,CNTITEM,IDCUST,IDINVC,IDSHPT,SPECINST,TEXTTRX,ORDRNBR,CUSTPO,INVCDESC,DATEINVC,FISCYR,FISCPER,SWMANRTE,DATEDUE,SWTAXBL,SWMANTX,CODETAXGRP,TAXSTTS1,AMTTAX1,AMTDUE,IDSHIPNBR
RECTYPE,CNTBTCH,CNTITEM,CNTLINE,IDDIST,TEXTDESC,AMTEXTN,TAXSTTS1,AMTTAX1,IDACCTREV
RECTYPE,CNTBTCH,CNTITEM,CNTPAYM,DATEDUE,AMTDUE
4,FA0325005,3,CONV,1
4,FA0325005,3,FC,MYR
1,FA0325010,4,300034133,20005651,,,1,,26364A2473258,AP-MONTH=03,20250307,2025,03,0,20250406,1,0,SST,1,38.43,518.83,
2,FA0325010,4,1,S,Yeshwant Kumar Jain (Network Engineer),0.00,2,0.00,9999
5,FA0325010,4,1,FV,0.00
5,FA0325010,4,1,PERIOD,1 Feb 2025-28 Feb 2025
5,FA0325010,4,1,QTY,0
5,FA0325010,4,1,RATE,0
5,FA0325010,4,1,UNIT,
2,FA0325010,4,2,,Reimbursement/Claim,480.40,1,38.43,3102-107
5,FA0325010,4,2,FV,480.40
5,FA0325010,4,2,PERIOD,1 Feb 2025-28 Feb 2025
5,FA0325010,4,2,QTY,1
5,FA0325010,4,2,RATE,480.4
5,FA0325010,4,2,UNIT,Unit
3,FA0325010,4,1,20250406,518.83
4,FA0325010,4,BRANCH,
4,FA0325010,4,CONV,1
4,FA0325010,4,FC,MYR
1,FA0425001,5,300034133,20005662,,,1,,25330A2473258,AP-MONTH=04,20250407,2025,04,0,20250507,1,0,SST,1,7311.23,98701.63,
2,FA0425001,5,1,S,Richard Castillo Abenir (IT-Infrastructure - Monit),0.00,2,0.00,9999
5,FA0425001,5,1,FV,0.00
5,FA0425001,5,1,PERIOD,1 Mar 2025-31 Mar 2025
5,FA0425001,5,1,QTY,0
5,FA0425001,5,1,RATE,0
5,FA0425001,5,1,UNIT,
2,FA0425001,5,2,,Normal,22521.60,1,1801.73,3102-107
5,FA0425001,5,2,FV,22521.60
5,FA0425001,5,2,PERIOD,1 Mar 2025-31 Mar 2025
5,FA0425001,5,2,QTY,192
5,FA0425001,5,2,RATE,117.3
5,FA0425001,5,2,UNIT,Hour
2,FA0425001,5,3,S,Yeshwant Kumar Jain (Network Engineer),0.00,2,0.00,9999
5,FA0425001,5,3,FV,0.00
5,FA0425001,5,3,PERIOD,1 Mar 2025-31 Mar 2025
5,FA0425001,5,3,QTY,0
5,FA0425001,5,3,RATE,0
5,FA0425001,5,3,UNIT,
2,FA0425001,5,4,,Normal,24816.00,1,1985.28,3102-107
5,FA0425001,5,4,FV,24816.00
5,FA0425001,5,4,PERIOD,1 Mar 2025-31 Mar 2025
5,FA0425001,5,4,QTY,176
5,FA0425001,5,4,RATE,141
5,FA0425001,5,4,UNIT,Hour
2,FA0425001,5,5,S,Donnie Zulkifli Burhan (Business Intelligence Dev),0.00,2,0.00,9999
5,FA0425001,5,5,FV,0.00
5,FA0425001,5,5,PERIOD,1 Mar 2025-31 Mar 2025
5,FA0425001,5,5,QTY,0
5,FA0425001,5,5,RATE,0
5,FA0425001,5,5,UNIT,
2,FA0425001,5,6,,Normal,20428.80,1,1634.30,3102-107
5,FA0425001,5,6,FV,20428.80
5,FA0425001,5,6,PERIOD,1 Mar 2025-31 Mar 2025
5,FA0425001,5,6,QTY,152
5,FA0425001,5,6,RATE,134.4
5,FA0425001,5,6,UNIT,Hour
2,FA0425001,5,7,S,Chankar Chilan A/L Supparmaniam (Desktop Technician - Inte),0.00,2,0.00,9999
5,FA0425001,5,7,FV,0.00
5,FA0425001,5,7,PERIOD,1 Mar 2025-31 Mar 2025
5,FA0425001,5,7,QTY,0
5,FA0425001,5,7,RATE,0
5,FA0425001,5,7,UNIT,
2,FA0425001,5,8,,Normal,8804.00,1,704.32,3102-107
5,FA0425001,5,8,FV,8804.00
5,FA0425001,5,8,PERIOD,1 Mar 2025-31 Mar 2025
5,FA0425001,5,8,QTY,124
5,FA0425001,5,8,RATE,71
5,FA0425001,5,8,UNIT,Hour
2,FA0425001,5,9,S,Wan Muhammad Paizuann Bin Wan Pakias (Server Engineer),0.00,2,0.00,9999
5,FA0425001,5,9,FV,0.00
5,FA0425001,5,9,PERIOD,1 Mar 2025-31 Mar 2025
5,FA0425001,5,9,QTY,0
5,FA0425001,5,9,RATE,0
5,FA0425001,5,9,UNIT,
2,FA0425001,5,10,,Normal,14820.00,1,1185.60,3102-107
5,FA0425001,5,10,FV,14820.00
5,FA0425001,5,10,PERIOD,1 Mar 2025-31 Mar 2025
5,FA0425001,5,10,QTY,156
5,FA0425001,5,10,RATE,95
5,FA0425001,5,10,UNIT,Hour
3,FA0425001,5,1,20250507,98701.63
4,FA0425001,5,BRANCH,
4,FA0425001,5,CONV,1
4,FA0425001,5,FC,MYR
1,FA0425002,6,300034133,20005663,,,1,,25329A2473258,AP-MONTH=04,20250407,2025,04,0,20250507,1,0,SST,1,460.41,6215.52,
2,FA0425002,6,1,S,Yeshwant Kumar Jain (Network Engineer),0.00,2,0.00,9999
5,FA0425002,6,1,FV,0.00
5,FA0425002,6,1,PERIOD,1 Mar 2025-31 Mar 2025
5,FA0425002,6,1,QTY,0
5,FA0425002,6,1,RATE,0
5,FA0425002,6,1,UNIT,
2,FA0425002,6,2,,Travel Billing,5755.11,1,460.41,3102-107
5,FA0425002,6,2,FV,5755.11
5,FA0425002,6,2,PERIOD,1 Mar 2025-31 Mar 2025
5,FA0425002,6,2,QTY,1
5,FA0425002,6,2,RATE,5755.11
5,FA0425002,6,2,UNIT,Unit
3,FA0425002,6,1,20250507,6215.52
4,FA0425002,6,BRANCH,
4,FA0425002,6,CONV,1
4,FA0425002,6,FC,MYR
1,FA0525007,7,300034133,20005673,,,1,,27215A2473258,AP-MONTH=05,20250507,2025,05,0,20250606,1,0,SST,1,8102.60,109385.10,
2,FA0525007,7,1,S,Chankar Chilan A/L Supparmaniam (Desktop Technician - Inte),0.00,2,0.00,9999
5,FA0525007,7,1,FV,0.00
5,FA0525007,7,1,PERIOD,1 Apr 2025-30 Apr 2025
5,FA0525007,7,1,QTY,0
5,FA0525007,7,1,RATE,0
5,FA0525007,7,1,UNIT,
2,FA0525007,7,2,,Normal,12496.00,1,999.68,3102-107
5,FA0525007,7,2,FV,12496.00
5,FA0525007,7,2,PERIOD,1 Apr 2025-30 Apr 2025
5,FA0525007,7,2,QTY,176
5,FA0525007,7,2,RATE,71
5,FA0525007,7,2,UNIT,Hour
2,FA0525007,7,3,S,Wan Muhammad Paizuann Bin Wan Pakias (Server Engineer),0.00,2,0.00,9999
5,FA0525007,7,3,FV,0.00
5,FA0525007,7,3,PERIOD,17 Apr 2025-31 May 2025
5,FA0525007,7,3,QTY,0
5,FA0525007,7,3,RATE,0
5,FA0525007,7,3,UNIT,
2,FA0525007,7,4,,Normal,5852.00,1,468.16,3102-107
5,FA0525007,7,4,FV,5852.00
5,FA0525007,7,4,PERIOD,17 Apr 2025-31 May 2025
5,FA0525007,7,4,QTY,56
5,FA0525007,7,4,RATE,104.5
5,FA0525007,7,4,UNIT,Hour
2,FA0525007,7,5,S,Wan Muhammad Paizuann Bin Wan Pakias (Server Engineer),0.00,2,0.00,9999
5,FA0525007,7,5,FV,0.00
5,FA0525007,7,5,PERIOD,1 Apr 2025-16 Apr 2025
5,FA0525007,7,5,QTY,0
5,FA0525007,7,5,RATE,0
5,FA0525007,7,5,UNIT,
2,FA0525007,7,6,,Normal,5320.00,1,425.60,3102-107
5,FA0525007,7,6,FV,5320.00
5,FA0525007,7,6,PERIOD,1 Apr 2025-16 Apr 2025
5,FA0525007,7,6,QTY,56
5,FA0525007,7,6,RATE,95
5,FA0525007,7,6,UNIT,Hour
2,FA0525007,7,7,S,Donnie Zulkifli Burhan (Business Intelligence Dev),0.00,2,0.00,9999
5,FA0525007,7,7,FV,0.00
5,FA0525007,7,7,PERIOD,1 Apr 2025-30 Apr 2025
5,FA0525007,7,7,QTY,0
5,FA0525007,7,7,RATE,0
5,FA0525007,7,7,UNIT,
2,FA0525007,7,8,,Normal,19353.60,1,1548.29,3102-107
5,FA0525007,7,8,FV,19353.60
5,FA0525007,7,8,PERIOD,1 Apr 2025-30 Apr 2025
5,FA0525007,7,8,QTY,144
5,FA0525007,7,8,RATE,134.4
5,FA0525007,7,8,UNIT,Hour
2,FA0525007,7,9,S,Richard Castillo Abenir (IT-Infrastructure - Monit),0.00,2,0.00,9999
5,FA0525007,7,9,FV,0.00
5,FA0525007,7,9,PERIOD,1 Apr 2025-30 Apr 2025
5,FA0525007,7,9,QTY,0
5,FA0525007,7,9,RATE,0
5,FA0525007,7,9,UNIT,
2,FA0525007,7,10,,Normal,24984.90,1,1998.79,3102-107
5,FA0525007,7,10,FV,24984.90
5,FA0525007,7,10,PERIOD,1 Apr 2025-30 Apr 2025
5,FA0525007,7,10,QTY,213
5,FA0525007,7,10,RATE,117.3
5,FA0525007,7,10,UNIT,Hour
2,FA0525007,7,11,S,Yeshwant Kumar Jain (Network Engineer),0.00,2,0.00,9999
5,FA0525007,7,11,FV,0.00
5,FA0525007,7,11,PERIOD,1 Apr 2025-30 Apr 2025
5,FA0525007,7,11,QTY,0
5,FA0525007,7,11,RATE,0
5,FA0525007,7,11,UNIT,
2,FA0525007,7,12,,Normal,33276.00,1,2662.08,3102-107
5,FA0525007,7,12,FV,33276.00
5,FA0525007,7,12,PERIOD,1 Apr 2025-30 Apr 2025
5,FA0525007,7,12,QTY,236
5,FA0525007,7,12,RATE,141
5,FA0525007,7,12,UNIT,Hour
3,FA0525007,7,1,20250606,109385.10
4,FA0525007,7,BRANCH,
4,FA0525007,7,CONV,1
4,FA0525007,7,FC,MYR
1,FA0625002,8,300034133,20005685,,,1,,27235A2473258,AP-MONTH=06,20250609,2025,06,0,20250709,1,0,SST,1,6979.87,94228.27,
2,FA0625002,8,1,S,Wan Muhammad Paizuann Bin Wan Pakias (Server Engineer),0.00,2,0.00,9999
5,FA0625002,8,1,FV,0.00
5,FA0625002,8,1,PERIOD,1 May 2025-31 May 2025
5,FA0625002,8,1,QTY,0
5,FA0625002,8,1,RATE,0
5,FA0625002,8,1,UNIT,
2,FA0625002,8,2,,Normal,15048.00,1,1203.84,3102-107
5,FA0625002,8,2,FV,15048.00
5,FA0625002,8,2,PERIOD,1 May 2025-31 May 2025
5,FA0625002,8,2,QTY,144
5,FA0625002,8,2,RATE,104.5
5,FA0625002,8,2,UNIT,Hour
2,FA0625002,8,3,S,Richard Castillo Abenir (IT-Infrastructure - Monit),0.00,2,0.00,9999
5,FA0625002,8,3,FV,0.00
5,FA0625002,8,3,PERIOD,1 May 2025-31 May 2025
5,FA0625002,8,3,QTY,0
5,FA0625002,8,3,RATE,0
5,FA0625002,8,3,UNIT,
2,FA0625002,8,4,,Normal,17360.40,1,1388.83,3102-107
5,FA0625002,8,4,FV,17360.40
5,FA0625002,8,4,PERIOD,1 May 2025-31 May 2025
5,FA0625002,8,4,QTY,148
5,FA0625002,8,4,RATE,117.3
5,FA0625002,8,4,UNIT,Hour
2,FA0625002,8,5,S,Donnie Zulkifli Burhan (Business Intelligence Dev),0.00,2,0.00,9999
5,FA0625002,8,5,FV,0.00
5,FA0625002,8,5,PERIOD,1 May 2025-31 May 2025
5,FA0625002,8,5,QTY,0
5,FA0625002,8,5,RATE,0
5,FA0625002,8,5,UNIT,
2,FA0625002,8,6,,Normal,21504.00,1,1720.32,3102-107
5,FA0625002,8,6,FV,21504.00
5,FA0625002,8,6,PERIOD,1 May 2025-31 May 2025
5,FA0625002,8,6,QTY,160
5,FA0625002,8,6,RATE,134.4
5,FA0625002,8,6,UNIT,Hour
2,FA0625002,8,7,S,Yeshwant Kumar Jain (Network Engineer),0.00,2,0.00,9999
5,FA0625002,8,7,FV,0.00
5,FA0625002,8,7,PERIOD,1 May 2025-31 May 2025
5,FA0625002,8,7,QTY,0
5,FA0625002,8,7,RATE,0
5,FA0625002,8,7,UNIT,
2,FA0625002,8,8,,Normal,24816.00,1,1985.28,3102-107
5,FA0625002,8,8,FV,24816.00
5,FA0625002,8,8,PERIOD,1 May 2025-31 May 2025
5,FA0625002,8,8,QTY,176
5,FA0625002,8,8,RATE,141
5,FA0625002,8,8,UNIT,Hour
2,FA0625002,8,9,S,Chankar Chilan A/L Supparmaniam (Desktop Technician - Inte),0.00,2,0.00,9999
5,FA0625002,8,9,FV,0.00
5,FA0625002,8,9,PERIOD,1 May 2025-31 May 2025
5,FA0625002,8,9,QTY,0
5,FA0625002,8,9,RATE,0
5,FA0625002,8,9,UNIT,
2,FA0625002,8,10,,Normal,8520.00,1,681.60,3102-107
5,FA0625002,8,10,FV,8520.00
5,FA0625002,8,10,PERIOD,1 May 2025-31 May 2025
5,FA0625002,8,10,QTY,120
5,FA0625002,8,10,RATE,71
5,FA0625002,8,10,UNIT,Hour
3,FA0625002,8,1,20250709,94228.27
4,FA0625002,8,BRANCH,
4,FA0625002,8,CONV,1
4,FA0625002,8,FC,MYR
1,FA0725001,9,300034133,20005695,,,1,,27255A2473258,AP-MONTH=07,20250707,2025,07,0,20250806,1,0,SST,1,6940.01,93690.11,
2,FA0725001,9,1,S,Wan Muhammad Paizuann Bin Wan Pakias (Server Engineer),0.00,2,0.00,9999
5,FA0725001,9,1,FV,0.00
5,FA0725001,9,1,PERIOD,1 Jun 2025-30 Jun 2025
5,FA0725001,9,1,QTY,0
5,FA0725001,9,1,RATE,0
5,FA0725001,9,1,UNIT,
2,FA0725001,9,2,,Normal,580.00,1,46.40,3102-107
5,FA0725001,9,2,FV,580.00
5,FA0725001,9,2,PERIOD,1 Jun 2025-30 Jun 2025
5,FA0725001,9,2,QTY,1
5,FA0725001,9,2,RATE,580
5,FA0725001,9,2,UNIT,Month
2,FA0725001,9,3,S,Chankar Chilan A/L Supparmaniam (Desktop Technician - Inte),0.00,2,0.00,9999
5,FA0725001,9,3,FV,0.00
5,FA0725001,9,3,PERIOD,1 Jun 2025-19 Jun 2025
5,FA0725001,9,3,QTY,0
5,FA0725001,9,3,RATE,0
5,FA0725001,9,3,UNIT,
2,FA0725001,9,4,,Normal,5112.00,1,408.96,3102-107
5,FA0725001,9,4,FV,5112.00
5,FA0725001,9,4,PERIOD,1 Jun 2025-19 Jun 2025
5,FA0725001,9,4,QTY,72
5,FA0725001,9,4,RATE,71
5,FA0725001,9,4,UNIT,Hour
2,FA0725001,9,5,S,Wan Muhammad Paizuann Bin Wan Pakias (Server Engineer),0.00,2,0.00,9999
5,FA0725001,9,5,FV,0.00
5,FA0725001,9,5,PERIOD,1 Jun 2025-30 Jun 2025
5,FA0725001,9,5,QTY,0
5,FA0725001,9,5,RATE,0
5,FA0725001,9,5,UNIT,
2,FA0725001,9,6,,Normal,100.00,1,8.00,3102-107
5,FA0725001,9,6,FV,100.00
5,FA0725001,9,6,PERIOD,1 Jun 2025-30 Jun 2025
5,FA0725001,9,6,QTY,1
5,FA0725001,9,6,RATE,100
5,FA0725001,9,6,UNIT,Month
2,FA0725001,9,7,S,Yeshwant Kumar Jain (Network Engineer),0.00,2,0.00,9999
5,FA0725001,9,7,FV,0.00
5,FA0725001,9,7,PERIOD,1 Jun 2025-30 Jun 2025
5,FA0725001,9,7,QTY,0
5,FA0725001,9,7,RATE,0
5,FA0725001,9,7,UNIT,
2,FA0725001,9,8,,Normal,200.00,1,16.00,3102-107
5,FA0725001,9,8,FV,200.00
5,FA0725001,9,8,PERIOD,1 Jun 2025-30 Jun 2025
5,FA0725001,9,8,QTY,1
5,FA0725001,9,8,RATE,200
5,FA0725001,9,8,UNIT,Hour
2,FA0725001,9,9,S,Yeshwant Kumar Jain (Network Engineer),0.00,2,0.00,9999
5,FA0725001,9,9,FV,0.00
5,FA0725001,9,9,PERIOD,1 Jun 2025-30 Jun 2025
5,FA0725001,9,9,QTY,0
5,FA0725001,9,9,RATE,0
5,FA0725001,9,9,UNIT,
2,FA0725001,9,10,,Normal,18612.00,1,1488.96,3102-107
5,FA0725001,9,10,FV,18612.00
5,FA0725001,9,10,PERIOD,1 Jun 2025-30 Jun 2025
5,FA0725001,9,10,QTY,132
5,FA0725001,9,10,RATE,141
5,FA0725001,9,10,UNIT,Hour
2,FA0725001,9,11,S,Donnie Zulkifli Burhan (Business Intelligence Dev),0.00,2,0.00,9999
5,FA0725001,9,11,FV,0.00
5,FA0725001,9,11,PERIOD,1 Jun 2025-30 Jun 2025
5,FA0725001,9,11,QTY,0
5,FA0725001,9,11,RATE,0
5,FA0725001,9,11,UNIT,
2,FA0725001,9,12,,Normal,19353.60,1,1548.29,3102-107
5,FA0725001,9,12,FV,19353.60
5,FA0725001,9,12,PERIOD,1 Jun 2025-30 Jun 2025
5,FA0725001,9,12,QTY,144
5,FA0725001,9,12,RATE,134.4
5,FA0725001,9,12,UNIT,Hour
